ID,TOPSIS_Score,TOPSIS_Rank,ML_Score,Final_Score,Final_Rank,Classe_predite,Moyenne,Alternance,Licence_EDN,Diplome_norm,Niveau_Math
309,0.28169356169680093,778,0.002407,0.169979,781,Non_classe,10.233333333333334,0.0,0.0,1.0,1.0
682,0.28045230222504713,779,0.009373,0.172021,771,Moyen,12.053,0.0,0.0,0.0,3.0
69,0.27994007687814637,780,0.002407,0.168927,782,Non_classe,10.11,0.0,0.0,1.0,1.0
388,0.2797978365838964,781,0.002407,0.168841,783,Non_classe,10.1,0.0,0.0,1.0,1.0
685,0.27884933952732527,782,0.002407,0.168272,784,Non_classe,10.033333333333331,0.0,0.0,1.0,1.0
67,0.27837495075002894,783,0.002407,0.167988,785,Non_classe,10.0,0.0,0.0,1.0,1.0
298,0.27837495075002894,783,0.002407,0.167988,785,Non_classe,10.0,0.0,0.0,1.0,1.0
91,0.27837495075002894,783,0.002407,0.167988,785,Non_classe,10.0,0.0,0.0,1.0,1.0
655,0.27837495075002894,783,0.002407,0.167988,785,Non_classe,10.0,0.0,0.0,1.0,1.0
307,0.27667862775292773,787,0.010594,0.170245,779,Non_classe,10.5,0.0,0.0,1.0,0.0
144,0.27667862775292773,787,0.010594,0.170245,779,Non_classe,10.5,0.0,0.0,1.0,0.0
613,0.27591445576484713,789,0.002407,0.166511,790,Non_classe,9.8272,0.0,0.0,1.0,1.0
670,0.27500462438777873,790,0.002407,0.165966,792,Non_classe,9.763333333333334,0.0,0.0,1.0,1.0
3,0.2729035006524289,791,0.010594,0.16798,789,Non_classe,10.24,0.0,0.0,1.0,0.0
488,0.27042939071385436,792,0.010594,0.166495,791,Non_classe,10.07,0.0,0.0,1.0,0.0
207,0.2694240764323014,793,0.010594,0.165892,793,Non_classe,10.001,0.0,0.0,1.0,0.0
409,0.26940950230382943,794,0.010594,0.165883,794,Non_classe,10.0,0.0,0.0,1.0,0.0
357,0.26940950230382943,794,0.010594,0.165883,794,Non_classe,10.0,0.0,0.0,1.0,0.0
56,0.26940950230382943,794,0.010594,0.165883,794,Non_classe,10.0,0.0,0.0,1.0,0.0
447,0.2547995792834154,797,0.010594,0.157117,797,Non_classe,9.0,0.0,0.0,1.0,0.0
65,0.24954963275290823,798,0.002407,0.150693,798,Non_classe,7.97,0.0,0.0,1.0,1.0
169,0.24865165990767607,799,0.002407,0.150154,799,Non_classe,7.906000000000001,0.0,0.0,1.0,1.0
